soc_code,Title,total_weight_impact,ability_base,n_abil,abil_base_impact,aioe,rank
11-9131.00,Postmasters and Mail Superintendents,5.44723564697083,8.2515,52,0.6601509600643313,0.7864258652517518,264
11-9141.00,"Property, Real Estate, and Community Association Managers",5.098146178010471,7.27472,52,0.7008030794326752,1.2677325199214928,108
11-9151.00,Social and Community Service Managers,6.4317997307404635,9.308948571428571,52,0.6909265510909817,1.1507979322602877,154
11-9161.00,Emergency Management Directors,7.106117262528048,10.644254285714286,52,0.6676012308410565,0.8746344250918493,247
11-9171.00,Funeral Home Managers,5.406341780104712,8.65294857142857,52,0.6247976323303334,0.36785502152979255,368
11-9179.01,Fitness and Wellness Coordinators,6.216908631264023,10.589808571428572,52,0.587065251400041,-0.07888296705402902,470
11-9179.02,Spa Managers,5.856106297681376,9.06316,52,0.6461439826375542,0.620588227458963,302
11-9199.01,Regulatory Affairs Managers,5.729551009723261,8.005037142857143,52,0.7157432136134075,1.4446184022463604,41
11-9199.02,Compliance Managers,5.91109784592371,8.444288571428572,52,0.7000113503846888,1.258358729196379,114
11-9199.08,Loss Prevention Managers,6.372918219895288,10.263177142857142,52,0.6209498414758089,0.32229854445464806,379
11-9199.09,Wind Energy Operations Managers,6.808626103216155,11.298788571428572,52,0.6025978856205202,0.10501790529973036,427
11-9199.10,Wind Energy Development Managers,6.08335445026178,8.99805142857143,52,0.6760746477782246,0.9749566720747729,213
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,6.542283365744203,9.58436,52,0.6825999196340917,1.052213573229198,187
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",5.177849274495138,7.276037142857143,52,0.7116304071617079,1.3959242346278042,53
13-1021.00,"Buyers and Purchasing Agents, Farm Products",5.164015916230366,7.9554285714285715,52,0.6491185069245181,0.655805538537394,292
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",5.3940598803290944,8.25068,52,0.6537715534148816,0.7108959563335094,279
13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",5.565564697083022,7.839162857142857,52,0.7099692656610409,1.376256909257268,62
13-1031.00,"Claims Adjusters, Examiners, and Investigators",6.138404756918474,8.906177142857143,52,0.6892300319718596,1.1307117484525193,160
13-1032.00,"Insurance Appraisers, Auto Damage",5.195677247569185,8.170925714285714,52,0.635873758891881,0.49899242604574173,335
13-1041.00,Compliance Officers,5.6792344652206435,8.75762,52,0.6484906247611387,0.6483716367315693,295
13-1041.01,Environmental Compliance Inspectors,7.513643231114435,11.899765714285714,52,0.6314110219913219,0.4461552061995379,348
13-1041.03,Equal Opportunity Representatives and Officers,6.583475632011967,9.252714285714285,52,0.7115183100570299,1.3945970447226028,55
13-1041.04,Government Property Inspectors and Investigators,7.53378842183994,12.585908571428572,52,0.5985891585882395,0.05755600104059714,436
13-1041.06,Coroners,6.9879749439042635,11.746737142857143,52,0.5948864658262532,0.013717433845764614,449
13-1041.07,Regulatory Affairs Specialists,6.21182219895288,8.746251428571428,52,0.7102268039837828,1.3793060715271368,59
13-1041.08,Customs Brokers,5.212505459985041,7.4047857142857145,52,0.703937380649489,1.3048415331004384,88
13-1051.00,Cost Estimators,5.721974076290202,8.35507142857143,52,0.684850407947806,1.0788585555444536,173
13-1071.00,Human Resources Specialists,5.181137950635752,7.202382857142857,52,0.7193644177770188,1.4874921733792148,31
13-1074.00,Farm Labor Contractors,4.473465908750935,8.112431428571428,52,0.5514334325213147,-0.50075104701624,566
13-1075.00,Labor Relations Specialists,5.987963096484667,8.336768571428571,52,0.7182594844969509,1.4744101557888387,35
13-1081.00,Logisticians,6.271702004487659,9.030537142857142,52,0.6944993310224485,1.1930983776836712,134
13-1081.01,Logistics Engineers,6.994916828721017,10.245805714285714,52,0.6827102742118185,1.0535201322342012,183
13-1081.02,Logistics Analysts,6.073915811518324,8.887945714285713,52,0.6833880411483205,1.0615446520359304,179
13-1111.00,Management Analysts,6.257522393418101,8.810931428571429,52,0.7101998743432136,1.3789872341475562,60
13-1121.00,"Meeting, Convention, and Event Planners",6.257503290949888,9.933077142857142,52,0.6299662431847363,0.4290495382801185,353
13-1131.00,Fundraisers,5.687867973074047,7.995448571428572,52,0.7113882257212465,1.3930568923897426,56
13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",5.278146806282722,7.518482857142857,52,0.7020228557505153,1.282174238289617,98
13-1151.00,Training and Development Specialists,6.025989798055348,8.571217142857144,52,0.7030494849937537,1.2943291638956365,91
13-1161.00,Market Research Analysts and Marketing Specialists,6.3953157816005985,9.108305714285715,52,0.7021410987084031,1.283574192913965,96
13-1161.01,Search Marketing Strategists,5.807173522812266,8.160734285714286,52,0.7115993879347318,1.3955569779976875,54
13-1199.04,Business Continuity Planners,6.641190949887808,9.400122857142858,52,0.7065004416236301,1.3351872646968845,73
13-1199.05,Sustainability Specialists,5.586572131637995,7.961877142857142,52,0.7016652017357351,1.277939741784692,100
13-1199.06,Online Merchants,4.6693601196709045,6.814554285714285,52,0.6852040388700893,1.0830454200631203,172
13-1199.07,Security Management Specialists,6.724713792071802,10.705857142857143,52,0.6281340860744135,0.40735744883187347,358
13-2011.00,Accountants and Auditors,5.814225489902768,8.33457142857143,52,0.6976034148524112,1.2298496277347855,123
13-2022.00,Appraisers of Personal and Business Property,5.825410785340314,9.051397142857143,52,0.6435924414097114,0.5903788855671532,310
13-2023.00,Appraisers and Assessors of Real Estate,5.209722797307404,8.15356,52,0.6389506911468615,0.5354222110926516,326
13-2031.00,Budget Analysts,5.488433313388183,7.994788571428571,52,0.6865013707807743,1.0984053691046545,169
13-2041.00,Credit Analysts,5.6268624682124155,8.156754285714285,52,0.6898408694334811,1.1379438470433973,157
13-2052.00,Personal Financial Advisors,5.806673956619297,8.238822857142857,52,0.7047941262124665,1.3149850962707506,84
13-2053.00,Insurance Underwriters,4.906345504861631,7.068942857142857,52,0.6940706133879669,1.1880225131615636,138
13-2061.00,Financial Examiners,6.6408381151832465,9.393628571428572,52,0.7069513196829876,1.340525500778675,71
13-2071.00,Credit Counselors,5.209177786088257,7.384057142857143,52,0.7054628214960764,1.3229022109242696,80
13-2072.00,Loan Officers,5.256369259536275,7.494357142857143,52,0.7013769372528651,1.274526792692097,103
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",5.671161585639491,8.21054,52,0.6907172470555519,1.1483198468205402,155
13-2082.00,Tax Preparers,4.681073642483171,6.759125714285714,52,0.6925560849666567,1.1700910345771842,148
13-2099.01,Financial Quantitative Analysts,6.300989424083769,9.105037142857142,52,0.6920333574945232,1.1639021269673036,151
13-2099.04,"Fraud Examiners, Investigators and Analysts",6.022240852655198,8.573074285714286,52,0.7024598938434885,1.2873486140850396,95
15-1211.00,Computer Systems Analysts,6.350052700074794,9.540305714285715,52,0.6656026431696193,0.8509718569121271,252
15-1211.01,Health Informatics Specialists,6.725734629768137,9.852482857142856,52,0.6826436267171083,1.0527310495684137,185
15-1212.00,Information Security Analysts,6.00253349289454,8.886411428571428,52,0.6754732820039486,0.9678367148979518,219
15-1221.00,Computer and Information Research Scientists,6.8009609274495135,10.166965714285714,52,0.6689273002950535,0.8903346164393158,243
15-1231.00,Computer Network Support Specialists,5.586014270755422,8.697502857142856,52,0.6422549509331735,0.5745434733692749,313
15-1232.00,Computer User Support Specialists,5.591776379955123,8.85648857142857,52,0.6313762316584977,0.44574330101558485,349
15-1241.00,Computer Network Architects,6.285120673148841,9.524482857142857,52,0.6598910163857699,0.7833482244233042,265
15-1241.01,Telecommunications Engineering Specialists,5.710665968586388,9.259682857142858,52,0.6167237103786138,0.2722626532836049,389
15-1242.00,Database Administrators,5.829532011967091,8.57752,52,0.6796290783311599,1.0170398673735996,204
15-1243.00,Database Architects,5.809582408376963,8.577177142857142,52,0.6773303514216257,0.9898237572170208,211
15-1243.01,Data Warehousing Specialists,5.4033497980553475,7.844108571428571,52,0.6888417911165255,1.1261151146191437,162
15-1244.00,Network and Computer Systems Administrators,6.180058818249813,9.861211428571428,52,0.6267038145378355,0.3904235418367136,361
15-1251.00,Computer Programmers,5.3129672251308895,7.88552,52,0.6737624437108637,0.9475809971562879,227
15-1252.00,Software Developers,5.4139072400897525,7.905302857142857,52,0.6848450132682776,1.078794684454897,174
15-1253.00,Software Quality Assurance Analysts and Testers,5.687348122662677,8.366128571428572,52,0.6798064450127767,1.0191398258875781,203
15-1254.00,Web Developers,5.590517845923709,8.553854285714285,52,0.6535671124606813,0.7084754480482702,280
15-1255.01,Video Game Designers,6.1420453702318625,9.402754285714286,52,0.6532176832019894,0.7043383297341946,282
15-1299.01,Web Administrators,5.643191667913238,8.437285714285714,52,0.66883970260227,0.8892974908693445,244
15-1299.02,Geographic Information Systems Technologists and Technicians,5.421444996260284,8.233108571428572,52,0.6584930769739114,0.7667971183012321,269
15-1299.03,Document Management Specialists,5.459220134629768,8.057877142857143,52,0.6775010387778202,0.9918446348903354,210
15-1299.05,Information Security Engineers,5.921017397157816,8.686,52,0.6816736584340106,1.041246969605856,194
15-1299.08,Computer Systems Engineers/Architects,6.156521271503366,9.046562857142858,52,0.6805370579658756,1.0277900237561859,200
15-1299.09,Information Technology Project Managers,5.996066058339566,8.5615,52,0.700352281532391,1.2623952328946606,112
15-2011.00,Actuaries,6.81763904263276,9.826588571428571,52,0.6937951042801851,1.1847605831796109,140
15-2021.00,Mathematicians,7.2131650411368735,10.393668571428572,52,0.693996060348252,1.1871398316507789,139
15-2031.00,Operations Research Analysts,6.428738578908003,9.244217142857144,52,0.6954335320731172,1.2041589863179267,129
15-2041.00,Statisticians,6.660983425579656,9.682254285714286,52,0.6879579103192555,1.115650279912588,166
15-2041.01,Biostatisticians,7.060660643231114,10.060182857142857,52,0.7018421775721457,1.280035072830249,99
15-2051.01,Business Intelligence Analysts,5.960914629768138,8.340254285714286,52,0.7147161735797875,1.4324586130281256,44
15-2051.02,Clinical Data Managers,5.9476623186237845,8.453662857142858,52,0.7035603878617365,1.3003780723921865,90
15-2099.01,Bioinformatics Technicians,6.052203081525803,8.859091428571428,52,0.6831629552898463,1.0588797154166587,180
17-1011.00,"Architects, Except Landscape and Naval",7.45746602842184,11.555394285714286,52,0.6453666438402161,0.6113848121904556,307
17-1012.00,Landscape Architects,6.591990845175767,10.008108571428572,52,0.6586650012965254,0.7688326412176132,268
17-1021.00,Cartographers and Photogrammetrists,5.76731421091997,9.20592857142857,52,0.6264782706243616,0.3877531820089353,362
17-1022.00,Surveyors,7.0161287210172025,12.4745,52,0.5624376705292559,-0.3704647774419131,537
17-1022.01,Geodetic Surveyors,7.116579401645475,11.774951428571429,52,0.6043829093322111,0.12615195204881863,423
17-2011.00,Aerospace Engineers,7.003391727748691,10.2742,52,0.681648374350187,1.0409476150336803,195
17-2021.00,Agricultural Engineers,6.971943380703067,10.875217142857142,52,0.6410854412486144,0.5606968940857031,321
17-2031.00,Bioengineers and Biomedical Engineers,7.212701316379955,10.96060857142857,52,0.6580566461593724,0.761629932466781,271
17-2041.00,Chemical Engineers,7.174449872849664,10.68461142857143,52,0.6714750387332442,0.9204989346523029,235
17-2051.00,Civil Engineers,7.539073567688856,11.25652,52,0.6697517143565557,0.9000953861155279,238
17-2051.01,Transportation Engineers,7.10463908750935,10.519108571428571,52,0.6754031522030852,0.9670064029641413,220
17-2051.02,Water/Wastewater Engineers,6.912966402393418,10.213322857142858,52,0.6768577180108156,0.9842279455010078,212
17-2061.00,Computer Hardware Engineers,6.297706088257293,9.464217142857143,52,0.6654228229548086,0.8488428494365682,253
17-2071.00,Electrical Engineers,6.760877112939417,10.227845714285715,52,0.6610265056595623,0.796792014126628,260
17-2072.00,"Electronics Engineers, Except Computer",6.884551608077786,11.063697142857142,52,0.6222650095336835,0.3378696671439372,375
17-2072.01,Radio Frequency Identification Device Specialists,5.7864236649214655,8.957751428571429,52,0.6459683226378918,0.6185084754531516,304
17-2081.00,Environmental Engineers,6.700293522812267,9.61532,52,0.6968352091050809,1.220754344534532,126
17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",6.397497232610322,9.956748571428571,52,0.6425287519028337,0.5777851796025559,312
17-2111.02,Fire-Prevention and Protection Engineers,6.8873622587883325,10.254451428571429,52,0.6716460950410711,0.922524180581902,234
17-2112.00,Industrial Engineers,6.441376738967838,9.872842857142857,52,0.6524338361475689,0.6950578590134078,284
17-2112.01,Human Factors Engineers and Ergonomists,6.887279865370232,10.020917142857144,52,0.6872903714486301,1.1077468567780766,168
17-2112.02,Validation Engineers,6.3659956469708305,9.537108571428572,52,0.6674974494934645,0.8734056907969889,248
17-2112.03,Manufacturing Engineers,7.996675243081526,13.079108571428572,52,0.6114082775144427,0.20932981608525658,410
17-2121.00,Marine Engineers and Naval Architects,7.912268900523561,13.22298,52,0.5983725983495067,0.05499200473097058,437
17-2131.00,Materials Engineers,7.01759693343306,10.857428571428573,52,0.6463406033266416,0.6229161465828346,300
17-2141.00,Mechanical Engineers,7.048889454001496,10.67593142857143,52,0.6602599034250938,0.787715715949128,263
17-2141.01,Fuel Cell Engineers,7.198244966342558,11.220251428571428,52,0.641540433578238,0.5660838416661539,317
17-2141.02,Automotive Engineers,7.344258189977562,11.450000000000001,52,0.6414199292556821,0.5646571132873192,320
17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",7.47575832460733,11.086111428571428,52,0.6743354847887062,0.9543655999875856,224
17-2161.00,Nuclear Engineers,7.284572670157068,10.723002857142857,52,0.679340737590556,1.01362601541652,205
17-2171.00,Petroleum Engineers,6.5222298878085265,9.553822857142857,52,0.6826827318587158,1.0531940405558433,184
17-2199.03,"Energy Engineers, Except Wind and Solar",6.5960299626028425,9.693054285714286,52,0.6804903561021146,1.0272370902766303,201
17-2199.05,Mechatronics Engineers,6.881446148092746,10.518731428571428,52,0.6542087508196157,0.7160722183235975,278
17-2199.06,Microsystems Engineers,7.328262812266268,11.550785714285714,52,0.6344384696880716,0.48199911165271525,339
17-2199.07,Photonics Engineers,7.45565952131638,11.710254285714287,52,0.6366778499773295,0.5085125789037085,332
17-2199.08,Robotics Engineers,8.14125358264772,13.548714285714286,52,0.6008875389181265,0.08476800781724993,434
17-2199.09,Nanosystems Engineers,7.802538369483919,12.307251428571428,52,0.633978952552333,0.4765585919749646,343
17-2199.10,Wind Energy Engineers,5.756713193717277,8.828454285714285,52,0.652063544468081,0.690673737046937,286
17-2199.11,Solar Energy Systems Engineers,6.856614913986537,10.988802857142858,52,0.6239637750466742,0.35798244745724594,370
17-3011.00,Architectural and Civil Drafters,5.575763919222139,9.086537142857143,52,0.6136291341311694,0.23562396963264187,405
17-3012.00,Electrical and Electronics Drafters,5.558933014210919,8.731934285714285,52,0.6366210317575919,0.5078398713624757,334
17-3013.00,Mechanical Drafters,5.301377232610322,8.56810857142857,52,0.6187336666447513,0.29605982158672695,384
17-3021.00,Aerospace Engineering and Operations Technologists and Technicians,6.652323515332834,11.02772,52,0.6032365271636235,0.11257919434001466,426
17-3022.00,Civil Engineering Technologists and Technicians,6.0806450261780105,9.599965714285714,52,0.6334027857130156,0.469736981237998,346
17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,6.0643846821241585,10.261391428571429,52,0.590990483536055,-0.03240961271132182,457
17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians,6.8341222737471945,12.757837142857143,52,0.5356803192595606,-0.6872623129098607,608
17-3024.01,Robotics Technicians,7.373883904263276,13.606497142857142,52,0.5419384450563212,-0.6131683262114266,592
17-3025.00,Environmental Engineering Technologists and Technicians,6.892369214659686,11.97732,52,0.5754517049439846,-0.2163832322423884,507
17-3026.00,Industrial Engineering Technologists and Technicians,6.302561750186985,10.234945714285715,52,0.6157884883932512,0.26118995714518367,397
17-3026.01,Nanotechnology Engineering Technologists and Technicians,7.572683949139866,12.804428571428572,52,0.5914113157722112,-0.027427108504683873,455
17-3027.00,Mechanical Engineering Technologists and Technicians,7.237968347045625,12.778682857142856,52,0.5664095766333103,-0.32343881989507467,524
17-3027.01,Automotive Engineering Technicians,6.495898219895287,11.686765714285714,52,0.5558336993061139,-0.44865345115275607,560
17-3029.01,Non-Destructive Testing Specialists,6.702427389678384,12.085394285714285,52,0.5545890544589914,-0.4633896040748827,562
17-3029.08,Photonics Technicians,5.567999431563201,9.865057142857143,52,0.5644163384897112,-0.34703805156521633,531
17-3031.00,Surveying and Mapping Technicians,5.391091488406881,9.619017142857142,52,0.5604617819410146,-0.39385859653876143,546
19-1011.00,Animal Scientists,7.232143470456245,10.909557142857143,52,0.6629181529326674,0.8191884459727455,257
19-1012.00,Food Scientists and Technologists,7.214554435302917,11.374397142857143,52,0.6342801596156232,0.4801247766228426,342
19-1013.00,Soil and Plant Scientists,7.513528167539267,11.836794285714285,52,0.6347603908777288,0.4858105441996216,338
19-1021.00,Biochemists and Biophysicists,8.22062842183994,12.495588571428572,52,0.6578824498620722,0.7595675101770664,272
19-1022.00,Microbiologists,7.775231832460733,12.337734285714285,52,0.6301993261002209,0.43180915721403157,352
19-1023.00,Zoologists and Wildlife Biologists,7.099867105459985,11.529302857142858,52,0.6158106169499519,0.2614519513969908,395
19-1029.01,Bioinformatics Scientists,7.622042782348542,11.285251428571428,52,0.675398579339707,0.9669522618859143,221
19-1029.02,Molecular and Cellular Biologists,8.28640143605086,12.706,52,0.6521644448332174,0.6918683615327784,285
19-1029.03,Geneticists,7.569538429319372,11.304985714285714,52,0.6695752317275387,0.898005894470337,239
19-1029.04,Biologists,7.688190441286463,11.89506,52,0.6463347340229022,0.6228466561111956,301
19-1031.00,Conservation Scientists,6.539973178758414,11.143268571428571,52,0.586898999771661,-0.08085132728548208,471
19-1031.02,Range Managers,6.287342722513089,10.542474285714286,52,0.5963820780699302,0.0314249516055357,446
19-1031.03,Park Naturalists,6.3069942557965595,10.389568571428573,52,0.6070506404992468,0.1577369415528112,420
19-1032.00,Foresters,7.025170306656694,12.308731428571429,52,0.5707469000704362,-0.2720864509120852,517
19-1041.00,Epidemiologists,7.646311084517577,10.880822857142856,52,0.7027327974095321,1.2905796953782371,94
19-1042.00,"Medical Scientists, Except Epidemiologists",7.556970725504862,11.18493142857143,52,0.675638538668275,0.9697932951083975,215
19-2011.00,Astronomers,7.522974300673149,11.130948571428572,52,0.6758610240984729,0.9724274435804876,214
19-2012.00,Physicists,9.061755946148093,13.275928571428572,52,0.6825704053312025,1.0518641343657575,188
19-2021.00,Atmospheric and Space Scientists,6.761396993268511,9.639648571428571,52,0.7014152998594729,1.2749809923288618,102
19-2031.00,Chemists,7.349140284218399,11.736645714285714,52,0.6261704121538838,0.38410824706237556,363
19-2032.00,Materials Scientists,6.810719775617053,10.137054285714285,52,0.6718637962918979,0.9251016860694619,233
19-2041.00,"Environmental Scientists and Specialists, Including Health",7.015548885564697,10.429702857142857,52,0.6726508877249603,0.9344205690810446,228
19-2041.01,Climate Change Policy Analysts,5.83191081525804,8.237022857142858,52,0.7080119742779166,1.3530832744637264,68
19-2041.02,Environmental Restoration Planners,6.969002782348541,10.986751428571429,52,0.6343096799501086,0.48047428689823873,341
19-2041.03,Industrial Ecologists,6.627723754674645,9.496214285714286,52,0.697933255849662,1.233754827990676,121
19-2042.00,"Geoscientists, Except Hydrologists and Geographers",7.147416245325355,11.07359142857143,52,0.6454469890304976,0.6123360707067158,306
19-2043.00,Hydrologists,7.223435108451758,11.401625714285714,52,0.6335443110889989,0.47141259142324354,345
19-2099.01,Remote Sensing Scientists and Technologists,6.991286806282723,10.477397142857143,52,0.6672732464903233,0.8707512068712917,250
19-3011.00,Economists,6.386740942408377,8.93232,52,0.7150147937387349,1.4359941696473915,43
19-3011.01,Environmental Economists,6.563728511593119,9.39134,52,0.6989128826762868,1.2453532616781129,116
19-3022.00,Survey Researchers,6.701547958115183,9.479754285714286,52,0.7069326647225679,1.3403046326730967,72
19-3032.00,Industrial-Organizational Psychologists,7.0581967090501125,9.911557142857143,52,0.7121178445847601,1.401695320590737,51
